,stock_code,alpha,beta_market,beta_smb,beta_hml,r_squared,adj_r_squared,f_pvalue,obs_count,p_value_alpha,p_value_market,p_value_smb,p_value_hml,t_stat_alpha,t_stat_market,t_stat_smb,t_stat_hml
0,000001,0.0002515020804908384,1.2795858806373497,-0.017233799342646097,0.002879919081238459,0.4666339766293328,0.46545570117269663,8.988615534025478e-185,1362,0.6029709925363498,1.3128617461172965e-176,0.6395706452954095,0.938656015472533,0.5202545185473474,33.09408014758732,-0.46840432873474974,0.07697343650095641
1,000002,-5.905712235998992e-05,1.164049785511142,0.025708573660510717,0.06717541733300172,0.3318338886138552,0.33035782209385633,2.119677282358179e-118,1362,0.9186789368999533,5.118025123539422e-115,0.559266467444278,0.13364034242657355,-0.10211693240356001,25.165387951753132,0.5840755811541054,1.5007977287645733
2,000063,-0.00016948324175705058,1.2644263772628854,-0.16045071990970225,-0.10648848614155185,0.28473080674317885,0.28313541077308924,2.1150497581871988e-97,1349,0.8189224618656947,1.972692225783354e-87,0.004426789471894798,0.06268455327671812,-0.2289758954551187,21.3646050375263,-2.850852350400545,-1.8629684506816222
3,000100,0.000649484917544725,1.2580802491346879,-0.05642559416223596,-0.06635549119803436,0.3243656631010623,0.32287199839163216,4.831130422698474e-115,1361,0.3171655131405966,3.951878302829312e-108,0.25347487283501946,0.1866528844549624,1.0006684736419622,24.23801413673481,-1.1424347714917078,-1.3212135893890702
4,000157,0.0017175961020785108,1.4130365563957759,0.15814027165729516,0.11002260295000284,0.3980543922322263,0.39672461548458027,3.876641650781869e-149,1362,0.0040539273907088755,4.370713515555729e-149,0.0005123185144793716,0.01732424220712109,2.8788414344296474,29.611246706782104,3.4826094043544753,2.3826756490582643
5,000166,0.0008496582155066128,1.0743683726568152,0.18088759608139593,0.07187617475614123,0.47627226375917897,0.47511528054215213,3.80708956539922e-190,1362,0.027583761871688248,9.075476806435458e-191,9.02857921318101e-10,0.016054731343994724,2.2055326506821276,34.8681609220661,6.169409624612966,2.4106851820253206
6,000301,0.0005937316738986581,0.9303532031514976,-0.027277322736852554,-0.025265491014831953,0.15302936189815897,0.15112320142231084,9.616892573603149e-48,1337,0.4503551189877463,4.952321802760473e-46,0.6489206807740897,0.6774177963313989,0.7550454041993511,14.805476244616429,-0.4553652085679146,-0.4160808826633258
7,000333,0.00029798148330570487,1.3700641280453068,-0.06577493349750206,-0.0036116856527532945,0.47036330090655887,0.4691577545505039,2.5135049941721745e-181,1322,0.5651453803373396,1.8331951066432635e-170,0.09486552651739412,0.9280106186803183,0.5753610065116319,32.47532493467982,-1.6714737238046395,-0.090365353077068
8,000338,0.0012475475056251703,1.416800634144647,0.06530242450545012,0.005769214250953937,0.4236359703981466,0.42236270670977727,6.247898691321817e-162,1362,0.030439795037181593,3.908353566558692e-158,0.1364314581084563,0.8970160394884317,2.1665871840602744,30.763405949606305,1.4900950514886098,0.12945596228489736
9,000408,0.031292733967253204,4.4092183610847355,11.346067754141657,-9.464080669020856,0.8314419502185859,0.8310620297457503,0.0,1335,3.7630781616951514e-14,9.786794511206593e-39,1.743358397496003e-203,1.8218707630675632e-151,7.652574450716097,13.445206816355022,36.59804724455056,-29.998706137328302
10,000425,0.001259606633006263,1.264324779206827,0.16585023834990342,0.06522645938397241,0.3765407603031282,0.37513972830380937,1.93977418811118e-136,1339,0.025939019707975585,1.3472700755008713e-136,0.00011246726013821658,0.13462401546687075,2.2296119317543823,28.064035407475433,3.8735304351446573,1.4970216022040326
11,000538,-0.0003703564378341794,0.9470589717153756,-0.07646202773589995,-0.0529352128044419,0.2791965341471562,0.27754205029286505,1.8512200523011157e-92,1311,0.5014696231240422,1.3641777604863903e-85,0.0675153927120263,0.21188736248889126,-0.6723659081275103,21.144927154463403,-1.8297474442854729,-1.2490037222529566
12,000568,0.0003616377829659091,1.7074510254426998,-0.3515853707155484,-0.2512126517116784,0.4654196225847983,0.4642386644609061,4.2048873365199014e-184,1362,0.6027999548805727,7.747007774258228e-158,4.269362540976441e-11,3.2835742402158345e-06,0.5205000295194301,30.725701868543492,-6.648801164950084,-4.6716982146987345
13,000596,0.0006050625443234558,1.2396286785475454,-0.24510489496913376,-0.20620928673297165,0.2850223814276823,0.2834429021524858,1.8257424930507696e-98,1362,0.41615876011539055,7.150382325016791e-84,1.607157973654504e-05,0.000353598482494784,0.8133521540863377,20.834187248993807,-4.329083130280345,-3.58156538456834
14,000617,0.0007216592754151904,1.0803583217180157,0.2072089648661187,0.13103611092245895,0.28977440915056063,0.2882054277274765,1.9885629352087106e-100,1362,0.21000570872501942,1.4819068986951113e-102,2.4626062276989684e-06,0.003312731105389865,1.2541434302480634,23.47412577766179,4.731394271595675,2.942336346076861
15,000625,0.001573355354633772,1.404717452506572,-0.02636555698082043,-0.05605161070408943,0.23528651255571387,0.23359716022704458,1.12489930587674e-78,1362,0.07991942060229691,2.843728374067552e-75,0.6996637586548448,0.4199965762815978,1.7524657437755489,19.562226780454473,-0.38585599681590665,-0.8066722624668025
16,000651,0.0001581355973839733,1.2446196066023192,-0.053596151861267254,-0.04002140051594482,0.40503031196762285,0.4037101129557167,6.76698766139526e-152,1356,0.769458399544998,4.556258985400713e-143,0.19121800797988958,0.3376020512091271,0.2931422638577071,28.856293968776868,-1.307639248915868,-0.9592545169477232
